id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
1,[Legacy] Dallara DW12,[Legacy] Dallara DW12,,Dallara DW12,Iracing,Oval,,Yes,dallaradw12,N/A,
2,[Legacy] Nascar Truck,[Legacy] NASCAR Truck Chevrolet Silverado - 2008,,NASCAR Truck Chevrolet Silverado - 2008,Iracing,Oval,,Yes,trucks\silverado,N/A,
3,BMW M2,BMW M2 CSR,4073,BMW M2 CSR,Iracing,Sports Car,,Yes,bmwm2csr,195,
4,Cadillac CTS-V Racecar,Cadillac CTS-V Racecar,45,Cadillac CTS-V,Iracing,Sports Car,,Yes,cadillacctsvr,41,
5,Formula Vee,Formula Vee - Classic,4107,Formula Vee- Classic,Iracing,Open Wheel,,Yes,formulavee,142,
6,Kia Optima,Kia Optima,48,Kia Optima,Iracing,Sports Car,,Yes,kiaoptima,44,
7,Legends Ford,Legends Ford '34 Coupe,5,Legends Ford '34 Coupe,Iracing,Oval,,Yes,legends\ford34c,5,
8,Mini Stock,Mini Stock,4069,Mini Stock,Iracing,Oval,,Yes,ministock,191,
9,Global Mazda MX-5 Cup,Global Mazda MX-5 Cup,74,Global Mazda MX-5 Cup,Iracing,Sports Car,,Yes,mx5\mx52016,67,
10,Renault Clio,Renault Clio,4015,Renault Clio,Iracing,Sports Car,,No,renaultcliocup,162,
11,Radical SR8,Radical SR8,15,Radical SR8 V8,Iracing,Sports Car,,Yes,radical\sr8,13,
12,Ray FF1600,Ray FF1600,4016,Ray FF1600,Iracing,Open Wheel,,Yes,raygr22,163,
13,SCCA Spec Racer Ford,SCCA Spec Racer Ford,20,SCCA Spec Racer Ford,Iracing,Sports Car,,Yes,specracer,23,
14,SRX,SRX,4050,SRX,Iracing,Oval,,No,srx,179,
15,Street Stock,Street Stock- Panther,4064,Street Stock- Panther,Iracing,Oval,,Yes,streetstock,36,
16,Toyota GR86,Toyota GR86,4012,Toyota GR86,Iracing,Sports Car,,Yes,toyotagr86,160,
17,[Legacy] Arca,[Legacy] ARCA Menards Chevrolet Impala,21,,Iracing,,,No,stockcars2\chevy,24,
18,IMSA 2 GT3,[Legacy] Audi R8 LMS GT3,473,,Iracing,,,No,audir8gt3,73,
19,,[Legacy] BMW Z4 GT3,,,Iracing,,,No,bmwz4gt3,N/A,
20,,[Legacy] Dallara IR-05,,,Iracing,,,No,dallara,N/A,
21,IMSA 2 GT3,[Legacy] Ferrari 488 GT3,473,,Iracing,,,No,ferrari488gt3,94,
22,,[Legacy] Gen 4 Cup,4021,,Iracing,,,No,stockcars2\chevy\gen4cup,167,
23,,[Legacy] Mazda MX-5 Cup - 2010,,,Iracing,,,No,mx5\cup,N/A,
24,,[Legacy] Mazda MX-5 Roadster - 2010,,,Iracing,,,No,mx5\roadster,N/A,
25,,[Legacy] McLaren MP4-12C GT3,,,Iracing,,,No,mclarenmp4,43,
