Team_ID,Team,Base_Style,Max_Tier,Low_Tier,Prestige,Color 1,Color 2,Color 3
1,Richard Childress Racing,Oval,5,4,100,CE1126,0,FFFFFF
2,Rick Ware Racing,Oval,5,4,100,0,FFFFFF,D71920
3,Spire Motorsports,Oval,5,4,100,003DA5,00A651,FFFFFF
4,Team Penske,Oval,5,4,100,ED1C24,FFFFFF,002D72
5,Trackhouse Racing,Oval,5,4,100,0057B8,E31B23,101820
6,Wood Brothers Racing,Oval,5,4,100,D71920,FFFFFF,B9975B
7,23XI,Oval,5,4,100,0,00A3E0,6F2DA8
8,Front Row Motorsports,Oval,5,4,100,0057B8,E31B23,FFFFFF
9,Haas,Oval,5,4,100,0,E6002D,FFFFFF
10,Hendrick Motorsports,Oval,5,4,100,003DA5,E31837,FFFFFF
11,Joe Gibbs Racing,Oval,5,4,100,CE1126,0,FFFFFF
12,Kaulig Racing,Oval,5,4,100,00A651,0,FFFFFF
13,Legacy Motor Club,Oval,5,4,100,0,C8A951,00A3E0
14,RFK Racing,Oval,5,4,100,001F5B,D71920,FFFFFF
15,Alpine,Open Wheel,5,4,100,00A1E8,FF87BC,061A4D
16,Aston Martin,Open Wheel,5,4,100,229971,0,FFFFFF
17,Audi,Open Wheel,5,4,100,E00000,0,C0C0C0
18,Cadillac,Open Wheel,5,4,100,D4AF37,0,B31B1B
19,Ferrari,Open Wheel,5,4,100,ED1131,0,FFFFFF
20,Haas F1 Team,Open Wheel,5,4,100,B6BABD,E6002D,0
21,McLaren,Open Wheel,5,4,100,FF8000,0,FFFFFF
22,Mercedes,Open Wheel,5,4,100,C0C0C0,0,00D2BE
23,Racing Bulls,Open Wheel,5,4,100,6C98FF,070B36,FFFFFF
24,Red Bull Racing,Open Wheel,5,4,100,3671C6,DB0A40,FFCC00
25,Williams,Open Wheel,5,4,100,00A3E0,1489,FFFFFF
26,Apex Motorsports,ANY,5,1,50,ED1C24,111111,FFFFFF
27,Blue Line Racing,ANY,5,1,50,0057B8,111111,FFFFFF
28,Ironclad Performance,ANY,5,1,50,6F2DA8,1F2933,FFFFFF
